solar_curr_mA,load_power_mW
1565.2499860152604,8931.704515597487
1478.100020904094,8931.556722417963
1362.7999578602612,8931.4043961866
1220.6999235786498,8931.246483942776
1286.7999612353742,8931.091164846153
1421.449996996671,8930.94113199202
1529.34982907027,8930.795334601253
1609.1499128378928,8930.652668852694
1657.8499344177546,8930.511913030276
1671.2500655557963,8930.371680396514
1658.64999871701,8930.230949527024
1609.9499771371486,8930.088302197704
1529.5500634238126,8929.94249301136
1422.6499479264023,8929.792480815628
1286.1999857705089,8929.637104626647
1258.0500333569944,8929.48061896385
1403.5499771125615,8929.329845761733
1521.1000572890046,8929.183687121555
1610.3498637676241,8929.041031353145
1671.2499200366437,8928.900764796997
1696.8499403446913,8928.761500720979
1690.1499475352468,8928.621970219023
1651.5499737579378,8928.480920071348
1578.1998808961362,8928.336985059552
1479.7499170526864,8928.189179050629
1348.3500515576454,8928.036207494757
1226.1499068699777,8927.87843169027
1382.1499305777252,8927.72678081855
1510.2500037755817,8927.580158951281
1609.699975233525,8927.437440664655
1679.6500131022185,5384.760913102813
1715.9999697469175,5384.719151268052
1720.1498849317431,5384.677487131026
1691.0000704228878,5384.635131617991
1627.7498798444867,5384.591276670893
1534.999901195988,5384.545223235512
1410.7000606600197,5384.496223668073
1260.7999087776989,5384.44367129477
1359.449961455539,5384.39345574292
1496.7499009799214,5384.346492901609
1606.0000052675607,5384.302118147652
1687.0000399649143,5384.259662102912
1733.8000179734083,5384.218314387248
1744.3500109948218,5384.177216032711
1728.14994584769,5384.13573316985
1674.1998842917385,5384.092971263374
1587.8998965490612,5384.048163725145
1472.1999468747526,5384.000613858067
1326.9500050228091,5383.949621399236
1328.999933321029,5383.898676735027
1478.7500549573451,5383.851279791374
1599.8499293345958,5383.806751722167
1689.3500287551433,5383.764343778474
1745.7999638281763,5383.723272831254
1770.1499746181073,5383.682778256507
1759.649894665927,5383.642034250243
1715.549879008904,5383.60024461968
1638.300018385053,5383.556623825258
1529.1500312741846,5383.510415928898
1388.84992338717,5383.4608827531865
1298.3499618712813,5383.409204318685
1456.2500291503968,5383.361266715653
1586.6500325500967,5383.316418355864
1688.6999947018921,5383.273987499925
1754.4000002089888,5383.233112831003
1788.8500588014722,5383.193053869644
1787.9498773254454,5383.152972963914
1752.7499585412443,5383.112057341916
1682.7999206725508,5383.069483546988
1581.5999358892443,5383.024511050446
1451.8499665427955,5382.976463290962
1287.8999405074867,5382.924529811915
1428.9499085862192,5382.875937877892
1572.150067659095,5382.830738491303
1680.6999337859452,5382.788110625733
1758.39988514781,5382.747323296501
